N,X,Y
1016,399599,3337664
1017,425324,3338582
1018,432766,3338363
1019,430458,3339242
1020,406934,3292227
1021,405646,3297162
1022,438580,3304537
1023,434004,3313600
1024,438792,3311092
1025,429796,3307847
1026,435600,3316558
1027,431602,3316310
1028,433950,3316895
1029,428053,3318684
1030,423920,3319200
1031,423491,3322905
1032,427549,3322729
1033,411893,3324944
1034,423214,3325550
1035,425238,3325908
1036,419716,3326630
1037,420760,3328559
1038,418555,3329266
1039,419714,3330992
1040,421320,3330976
1041,405888,3324244
1042,428472,3335678
1043,425796,3332264
1044,418906,3338069
1045,422176,3338033
1046,417721,3330564
1047,418859,3330995
1048,421407,3333246
1049,424194,3334412
1050,420494,3331391
1051,417718,3333778
1052,416585,3337729
1053,336525,3306074
1054,330852,3311366
1055,347136,3311502
1056,349482,3314830
1057,331806,3320394
1058,340317,3318894
1059,335494,3331783
1060,342172,3332690
1061,331506,3335547
1062,338318,3339292
1063,343504,3337360
1064,342148,3338702
1065,348527,3333733
1066,340559,3339202
1067,343733,3340510
1068,341793,3340741
1069,342283,3340609
1070,354172,3337850
1071,343802,3341324
1072,331219,3339785
1073,341366,3344764
1074,349298,3343741
1075,339245,3342814
1076,331995,3343533
1077,328530,3351692
1078,332506,3352582
1079,328601,3355954
1080,340039,3354706
1081,359822,3384198
1082,350746,3365089
1083,336730,3380922
1084,291528,3246178
1085,292227,3246559
1086,281892,3273914
1087,303403,3281656
1088,273718,3289382
1089,309401,3286536
1090,315329,3300620
1091,311795,3299641
1092,290238,3292686
1093,440977,3335435
1094,447789,3336213
1095,445144,3336602
1096,449930,3336326
1097,440454,3337396
1098,446894,3338076
1099,436329,3335453
1100,443612,3339010
1101,445890,3338488
1102,429075,3340414
1103,418964,3340397
1104,446557,3339991
1105,422659,3340230
1106,440506,3339535
1107,400825,3340765
1108,442276,3340865
1109,444420,3341116
1110,439271,3341935
1111,449271,3340552
1112,440851,3342982
1113,442110,3342668
1114,445511,3342222
1115,445962,3342214
1116,450641,3344108
1117,430636,3343984
1118,448847,3344613
1119,449054,3346556
1120,445989,3344606
1121,441379,3344446
1122,439069,3347192
1123,416820,3347132
1124,443266,3347700
1125,441873,3347517
1126,449538,3347741
1127,417879,3347909
1128,441004,3348487
1129,445346,3347620
1130,425512,3347731
1131,427566,3347748
1132,429698,3347240
1133,432222,3347550
1134,442251,3348871
1135,415522,3348410
1136,432211,3349216
1137,417430,3349131
1138,429946,3350039
1139,430290,3349401
1140,431292,3350056
1141,428508,3349522
1142,435637,3344992
1143,438312,3348676
1144,448033,3349267
1145,449749,3349967
1146,451400,3349621
1147,453942,3349013
1148,458993,3349350
1149,460894,3348975
1150,462287,3349174
1151,439195,3349482
1152,444491,3349378
1153,440117,3349986
1154,431623,3350612
1155,401188,3346628
1156,442972,3350532
1157,430067,3350879
1158,442779,3351316
1159,441118,3350434
1160,430564,3350702
1161,425387,3350110
1162,428943,3350838
1163,438472,3351140
1164,441563,3351879
1165,431519,3351704
1166,438687,3351788
1167,426443,3350573
1168,408765,3346516
1169,440370,3352576
1170,431376,3352502
1171,439151,3352207
1172,428896,3352397
1173,432898,3352703
1174,430263,3352644
1175,406820,3352067
1176,449669,3351927
1177,432130,3353520
1178,431511,3353451
1179,442581,3352163
1180,441857,3352929
1181,437054,3351597
1182,437411,3353444
1183,437758,3352236
1184,436770,3353368
1185,461595,3351996
1186,432464,3353151
1187,433086,3353757
1188,416583,3353486
1189,434376,3353579
1190,423638,3353053
1191,425276,3353074
1192,444765,3352563
1193,434125,3353759
1194,426712,3353273
1195,436542,3353831
1196,437101,3353912
1197,436843,3353914
1198,436559,3353982
1199,434080,3353912
1200,433298,3352583
1201,428710,3353722
1202,440737,3353486
1203,436466,3354139
1204,434774,3354023
1205,436464,3354231
1206,436291,3353975
1207,434554,3354116
1208,454519,3352512
1209,456697,3351950
1210,424476,3354189
1211,436583,3354311
1212,438627,3353516
1213,434042,3354236
1214,442007,3353894
1215,430189,3353668
1216,431496,3354134
1217,442752,3354081
1218,432321,3354215
1219,446527,3354384
1220,447131,3352487
1221,458296,3352986
1222,434965,3354477
1223,446198,3354354
1224,434688,3354524
1225,448774,3352464
1226,460014,3352838
1227,425221,3354412
1228,460957,3354268
1229,462381,3352428
1230,449509,3354604
1231,450849,3352676
1232,426917,3354485
1233,435403,3354571
1234,437754,3354702
1235,436903,3355026
1236,436772,3355047
1237,437580,3355024
1238,436194,3354948
1239,443625,3354376
1240,438917,3355109
1241,445131,3354519
1242,439398,3354784
1243,441412,3354708
1244,436398,3355130
1245,437068,3355131
1246,436826,3355188
1247,437543,3355202
1248,428741,3354558
1249,438529,3354832
1250,436505,3355232
1251,437090,3355254
1252,435986,3355297
1253,435247,3354812
1254,436857,3355311
1255,446374,3355228
